a,a
ah,ah
ai,ai
ainn,ainn
ak,ak
am,am
an,an
ang,ang
ann,ann
ap,ap
at,at
au,au
ba,ba
bah,bah
bai,bai
bak,bak
ban,ban
bang,bang
bat,bat
bau,bau
be,be
beh,beh
bi,bi
bian,bian
biat,biat
biau,biau
bih,bih
bik,bek
bin,bin
bing,beng
bio,bio
bit,bit
biu,biu
bo,bo
bok,bok
bong,bong
boo,bou
bu,bu
bua,boa
buah,boah
buan,boan
buat,boat
bue,boe
bueh,boeh
bui,bui
bun,bun
but,but
e,e
eh,eh
enn,enn
ga,ga
gai,gai
gak,gak
gam,gam
gan,gan
gang,gang
gau,gau
ge,ge
gi,gi
gia,gia
giah,giah
giam,giam
gian,gian
giang,geang
giap,giap
giat,giat
giau,giau
gik,gek
gim,gim
gin,gin
ging,geng
gio,gio
gioh,gioh
giok,geok
giong,geong
giu,giu
go,go
gok,gok
gong,gong
goo,gou
gu,gu
gua,goa
guan,goan
guat,goat
gue,goe
gueh,goeh
gui,gui
ha,ha
hah,hah
hai,hai
hainn,hainn
hak,hak
ham,ham
han,han
hang,hang
hann,hann
hannh,hannh
hap,hap
hat,hat
hau,hau
he,he
heh,heh
henn,henn
hennh,hennh
hi,hi
hia,hia
hiah,hiah
hiam,hiam
hian,hian
hiang,heang
hiann,hiann
hiannh,hiannh
hiap,hiap
hiat,hiat
hiau,hiau
hiauh,hiauh
hik,hek
him,him
hin,hin
hing,heng
hinn,hinn
hio,hio
hioh,hioh
hiok,heok
hiong,heong
hip,hip
hit,hit
hiu,hiu
hiunn,hiunn
hiunnh,hiunnh
hm,hm
hmh,hmh
hng,hng
hngh,hngh
ho,ho
hoh,hoh
hok,hok
hong,hong
honn,honn
honnh,honnh
hoo,hou
hu,hu
hua,hoa
huah,hoah
huai,hoai
huainn,hoainn
huan,hoan
huann,hoann
huat,hoat
hue,hoe
hueh,hoeh
hui,hui
hun,hun
hut,hut
i,i
ia,ia
iah,iah
iam,iam
ian,ian
iang,eang
iann,iann
iap,iap
iat,iat
iau,iau
iaunn,iaunn
ik,ek
im,im
in,in
ing,eng
inn,inn
io,io
ioh,ioh
iok,eok
iong,eong
ip,ip
it,it
iu,iu
iunn,iunn
ji,ji
jia,jia
jiam,jiam
jian,jian
jiang,jeang
jiap,jiap
jiat,jiat
jiau,jiau
jim,jim
jin,jin
jiok,jeok
jiong,jeong
jip,jip
jit,jit
jiu,jiu
ju,ju
juah,joah
jue,joe
jun,jun
ka,ka
kah,kah
kai,kai
kainn,kainn
kak,kak
kam,kam
kan,kan
kang,kang
kann,kann
kap,kap
kat,kat
kau,kau
kauh,kauh
ke,ke
keh,keh
kenn,kenn
kha,kha
khah,khah
khai,khai
khainn,khainn
khak,khak
kham,kham
khan,khan
khang,khang
khann,khann
khap,khap
khat,khat
khau,khau
khe,khe
kheh,kheh
khenn,khenn
khennh,khennh
khi,khi
khia,khia
khiah,khiah
khiak,kheak
khiam,khiam
khian,khian
khiang,kheang
khiap,khiap
khiat,khiat
khiau,khiau
khiauh,khiauh
khih,khih
khik,khek
khim,khim
khin,khin
khing,kheng
khinn,khinn
khio,khio
khiok,kheok
khiong,kheong
khip,khip
khit,khit
khiu,khiu
khiunn,khiunn
khng,khng
kho,kho
khok,khok
khong,khong
khoo,khou
khu,khu
khua,khoa
khuah,khoah
khuai,khoai
khuann,khoann
khuat,khoat
khue,khoe
khueh,khoeh
khuh,khuh
khui,khui
khun,khun
khut,khut
ki,ki
kia,kia
kiah,kiah
kiam,kiam
kian,kian
kiann,kiann
kiap,kiap
kiat,kiat
kiau,kiau
kik,kek
kim,kim
kin,kin
king,keng
kinn,kinn
kio,kio
kioh,kioh
kiok,keok
kiong,keong
kip,kip
kit,kit
kiu,kiu
kiunn,kiunn
kng,kng
ko,ko
koh,koh
kok,kok
kong,kong
konn,konn
koo,kou
ku,ku
kua,koa
kuah,koah
kuai,koai
kuainn,koainn
kuan,koan
kuann,koann
kuat,koat
kue,koe
kueh,koeh
kui,kui
kun,kun
kut,kut
la,la
lah,lah
lai,lai
lak,lak
lam,lam
lan,lan
lang,lang
lap,lap
lat,lat
lau,lau
lauh,lauh
le,le
leh,leh
li,li
liah,liah
liam,liam
lian,lian
liang,leang
liap,liap
liat,liat
liau,liau
lih,lih
lik,lek
lim,lim
lin,lin
ling,leng
lio,lio
lioh,lioh
liok,leok
liong,leong
lip,lip
liu,liu
lo,lo
loh,loh
lok,lok
long,long
loo,lou
lu,lu
lua,loa
luah,loah
luan,loan
luat,loat
lue,loe
lui,lui
lun,lun
lut,lut
m,m
ma,ma
mai,mai
mau,mau
mauh,mauh
me,me
meh,meh
mi,mi
mia,mia
miau,miau
mih,mih
mng,mng
moo,mou
mooh,mouh
mua,moa
mui,mui
na,na
nah,nah
nai,nai
nau,nau
nauh,nauh
ne,ne
neh,neh
ng,ng
nga,nga
ngai,ngai
ngau,ngau
nge,nge
ngeh,ngeh
ngia,ngia
ngiau,ngiau
ngiauh,ngiauh
ngoo,ngou
ni,ni
nia,nia
niau,niau
nih,nih
niu,niu
nng,nng
noo,nou
nua,noa
o,o
oh,oh
ok,ok
om,om
ong,ong
onn,onn
oo,ou
pa,pa
pah,pah
pai,pai
pak,pak
pan,pan
pang,pang
pat,pat
pau,pau
pe,pe
peh,peh
penn,penn
pha,pha
phah,phah
phai,phai
phainn,phainn
phak,phak
phan,phan
phang,phang
phau,phau
phauh,phauh
phe,phe
phenn,phenn
phi,phi
phiah,phiah
phiak,pheak
phian,phian
phiang,pheang
phiann,phiann
phiat,phiat
phiau,phiau
phih,phih
phik,phek
phin,phin
phing,pheng
phinn,phinn
phio,phio
phit,phit
phngh,phngh
pho,pho
phoh,phoh
phok,phok
phong,phong
phoo,phou
phu,phu
phua,phoa
phuah,phoah
phuan,phoan
phuann,phoann
phuat,phoat
phue,phoe
phueh,phoeh
phuh,phuh
phui,phui
phun,phun
phut,phut
pi,pi
piah,piah
piak,peak
pian,pian
piang,peang
piann,piann
piat,piat
piau,piau
pih,pih
pik,pek
pin,pin
ping,peng
pinn,pinn
pio,pio
pit,pit
piu,piu
png,png
po,po
poh,poh
pok,pok
pong,pong
poo,pou
pu,pu
pua,poa
puah,poah
puan,poan
puann,poann
puat,poat
pue,poe
pueh,poeh
puh,puh
pui,pui
pun,pun
put,put
sa,sa
sah,sah
sai,sai
sak,sak
sam,sam
san,san
sang,sang
sann,sann
sannh,sannh
sap,sap
sau,sau
se,se
seh,seh
senn,senn
si,si
sia,sia
siah,siah
siak,seak
siam,siam
sian,sian
siang,seang
siann,siann
siap,siap
siat,siat
siau,siau
sih,sih
sik,sek
sim,sim
sin,sin
sing,seng
sinn,sinn
sio,sio
sioh,sioh
siok,seok
siong,seong
sip,sip
sit,sit
siu,siu
siunn,siunn
sng,sng
sngh,sngh
so,so
soh,soh
sok,sok
som,som
song,song
soo,sou
su,su
sua,soa
suah,soah
suai,soai
suainn,soainn
suan,soan
suann,soann
suat,soat
sue,soe
sueh,soeh
suh,suh
sui,sui
sun,sun
sut,sut
ta,ta
tah,tah
tai,tai
tainn,tainn
tak,tak
tam,tam
tan,tan
tang,tang
tann,tann
tap,tap
tat,tat
tau,tau
tauh,tauh
te,te
teh,teh
tenn,tenn
tha,tha
thah,thah
thai,thai
thak,thak
tham,tham
than,than
thang,thang
thann,thann
thap,thap
that,that
thau,thau
the,the
theh,theh
thenn,thenn
thi,thi
thiah,thiah
thiam,thiam
thian,thian
thiann,thiann
thiap,thiap
thiat,thiat
thiau,thiau
thih,thih
thik,thek
thim,thim
thin,thin
thing,theng
thinn,thinn
thio,thio
thiok,theok
thiong,theong
thiu,thiu
thng,thng
tho,tho
thoh,thoh
thok,thok
thong,thong
thoo,thou
thu,thu
thua,thoa
thuah,thoah
thuan,thoan
thuann,thoann
thuat,thoat
thuh,thuh
thui,thui
thun,thun
thut,thut
ti,ti
tia,tia
tiah,tiah
tiak,teak
tiam,tiam
tian,tian
tiann,tiann
tiap,tiap
tiat,tiat
tiau,tiau
tih,tih
tik,tek
tim,tim
tin,tin
ting,teng
tinn,tinn
tinnh,tinnh
tio,tio
tioh,tioh
tiok,teok
tiong,teong
tit,tit
tiu,tiu
tiuh,tiuh
tiunn,tiunn
tng,tng
to,to
toh,toh
tok,tok
tom,tom
tong,tong
too,tou
tsa,cha
tsah,chah
tsai,chai
tsainn,chainn
tsak,chak
tsam,cham
tsan,chan
tsang,chang
tsann,chann
tsap,chap
tsat,chat
tsau,chau
tse,che
tseh,cheh
tsenn,chenn
tsha,chha
tshai,chhai
tshak,chhak
tsham,chham
tshan,chhan
tshang,chhang
tshann,chhann
tshap,chhap
tshat,chhat
tshau,chhau
tshauh,chhauh
tsheh,chheh
tshenn,chhenn
tshi,chhi
tshia,chhia
tshiah,chhiah
tshiak,chheak
tshiam,chhiam
tshian,chhian
tshiann,chhiann
tshiap,chhiap
tshiat,chhiat
tshiau,chhiau
tshih,chhih
tshik,chhek
tshim,chhim
tshin,chhin
tshing,chheng
tshinn,chhinn
tshio,chhio
tshioh,chhioh
tshiok,chheok
tshiong,chheong
tship,chhip
tshit,chhit
tshiu,chhiu
tshiunn,chhiunn
tshng,chhng
tshngh,chhngh
tsho,chho
tshoh,chhoh
tshok,chhok
tshong,chhong
tshoo,chhou
tshu,chhu
tshua,chhoa
tshuah,chhoah
tshuan,chhoan
tshuang,chhoang
tshuann,chhoann
tshue,chhoe
tshuh,chhuh
tshui,chhui
tshun,chhun
tshut,chhut
tsi,chi
tsia,chia
tsiah,chiah
tsiam,chiam
tsian,chian
tsiang,cheang
tsiann,chiann
tsiap,chiap
tsiat,chiat
tsiau,chiau
tsih,chih
tsik,chek
tsim,chim
tsin,chin
tsing,cheng
tsinn,chinn
tsio,chio
tsioh,chioh
tsiok,cheok
tsiong,cheong
tsip,chip
tsit,chit
tsiu,chiu
tsiunn,chiunn
tsng,chng
tso,cho
tsoh,choh
tsok,chok
tsong,chong
tsoo,chou
tsu,chu
tsua,choa
tsuah,choah
tsuainn,choainn
tsuan,choan
tsuann,choann
tsuat,choat
tsue,choe
tsuh,chuh
tsui,chui
tsun,chun
tsut,chut
tu,tu
tua,toa
tuan,toan
tuann,toann
tuat,toat
tue,toe
tuh,tuh
tui,tui
tun,tun
tut,tut
u,u
ua,oa
uah,oah
uai,oai
uainn,oainn
uan,oan
uang,oang
uann,oann
uat,oat
ue,oe
ueh,oeh
uh,uh
ui,ui
un,un
ut,ut
